algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.5478,9430,8
MergeSort,random,10000,1.7063,127014,11
MergeSort,random,100000,23.7288,1639198,14
MergeSort,random,1000000,293.3365,19886084,18
MergeSort,sorted,1000,0.0453,4236,8
MergeSort,sorted,10000,0.6665,59248,11
MergeSort,sorted,100000,7.9108,744016,14
MergeSort,sorted,1000000,101.3572,9071040,18
MergeSort,duplicates,1000,0.1109,9187,8
MergeSort,duplicates,10000,1.2682,121575,11
MergeSort,duplicates,100000,14.2535,1561497,14
MergeSort,duplicates,1000000,164.9320,18919242,18
QuickSort,random,1000,0.1743,10896,6
QuickSort,random,10000,2.0036,157289,8
QuickSort,random,100000,24.8017,2054601,12
QuickSort,random,1000000,298.8705,25229198,13
QuickSort,sorted,1000,0.1099,11510,6
QuickSort,sorted,10000,1.5326,157463,9
QuickSort,sorted,100000,15.5341,1989055,10
QuickSort,sorted,1000000,183.3644,24704348,13
QuickSort,duplicates,1000,0.0455,3437,2
QuickSort,duplicates,10000,0.4577,36849,2
QuickSort,duplicates,100000,4.3295,320097,3
QuickSort,duplicates,1000000,44.3397,3497254,2
QuickSelect,random,1000,0.0376,3247,7
QuickSelect,random,10000,0.3791,38648,22
QuickSelect,random,100000,3.3683,304829,21
QuickSelect,random,1000000,32.4718,3338373,23
QuickSelect,sorted,1000,0.0173,3300,15
QuickSelect,sorted,10000,0.1769,35272,16
QuickSelect,sorted,100000,1.5436,307253,14
QuickSelect,sorted,1000000,17.2225,3451078,28
QuickSelect,duplicates,1000,0.0282,2167,3
QuickSelect,duplicates,10000,0.2968,21963,5
QuickSelect,duplicates,100000,2.7397,229600,4
QuickSelect,duplicates,1000000,28.6355,2499041,4
